sample_prompt,seed,layer,type,shape,params,mode,w_bits,a_bits,baseline_ms,layer_ms,peak_mem_MB,mse,mae,max_abs,cos
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W4A8,4,8.0,3160.62,2527.26,,0.0074245203,0.0484661311,1.5734567642,0.9962376933
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A16,8,,3160.62,2552.1,,6.459e-06,0.0014707559,0.0327342749,0.9999967135
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A8,8,8.0,3160.62,2543.26,,0.0007300004,0.0149175357,0.3448528945,0.9996279622
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W4A16,4,,3160.62,2539.59,,0.0043610046,0.0345584899,1.3730788231,0.9977770839
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W4A8,4,8.0,3160.62,2557.93,,0.0068303635,0.0444011539,1.6735749245,0.9965156232
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A16,8,,3160.62,2544.63,,0.0004518254,0.011008909,0.3271286488,0.9997697664
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A8,8,8.0,3160.62,2563.41,,0.0393714681,0.0985327363,2.7067470551,0.979881809
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W4A16,4,,3160.62,2574.55,,0.0196058787,0.0962039009,1.7401311398,0.9904048168
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W4A8,4,8.0,3160.62,2560.94,,0.0129394373,0.0802479833,1.2280294895,0.9936631943
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A16,8,,3160.62,2593.88,,1.54602e-05,0.0027058281,0.0419279039,0.9999922236
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8.0,3160.62,2608.19,,1.39377e-05,0.0026345192,0.0336895883,0.9999929704
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W4A16,4,,3160.62,2552.4,,0.0331275165,0.1005429775,5.0146203041,0.9831802892
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,3160.62,2599.87,,0.0331067257,0.1003198028,5.0178575516,0.9831903738
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A16,8,,3160.62,2574.17,,0.0001329094,0.0058791218,0.1596119404,0.9999324657
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A8,8,8.0,3160.62,2621.66,,0.0003908631,0.0098605491,0.3103191853,0.9998014594
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W4A16,4,,3160.62,2572.33,,0.0803820118,0.1506629288,7.3703603745,0.959296775
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W4A8,4,8.0,3160.62,2571.81,,0.0800069198,0.1505440027,7.3276462555,0.959498398
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A16,8,,3160.62,2572.81,,2.78864e-05,0.0030568666,0.0576041043,0.9999857961
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A8,8,8.0,3160.62,2619.04,,0.0005113707,0.0109674642,0.5562586784,0.9997392241
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W4A16,4,,3160.62,2560.75,,0.0010982592,0.0224327818,0.5059008598,0.9994406253
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W4A8,4,8.0,3160.62,2633.45,,0.0004808762,0.0161559433,0.3620449305,0.999755181
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A16,8,,3160.62,2585.13,,2.4332e-05,0.0027676465,0.0737585276,0.9999876148
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,3160.62,2611.27,,3.44261e-05,0.0036229058,0.0778804421,0.9999825884
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W4A16,4,,3160.62,2637.92,,0.0468058325,0.1133252755,2.729789257,0.9760335737
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,3160.62,2651.12,,0.0446472503,0.1100456119,2.7185320854,0.977148564
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A16,8,,3160.62,2621.1,,2.33502e-05,0.0024339266,0.0842722207,0.9999881443
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,3160.62,2595.1,,1.95726e-05,0.0026325344,0.0604345798,0.9999900254
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W4A16,4,,3160.62,2629.94,,0.0003752465,0.0111539932,0.5619711876,0.9998091946
