sample_prompt,seed,layer,type,shape,params,mode,w_bits,a_bits,baseline_ms,layer_ms,peak_mem_MB,mse,mae,max_abs,cos
"a futuristic cityscape at twilight, ultra-detailed, cinemati...",321,conv_out,Conv2d,"(4, 320, 3, 3)",11524,W8A8,8,8.0,2858.75,2798.91,,0.0009717049,0.0248637274,0.1221298873,0.9991479361
"a futuristic cityscape at twilight, ultra-detailed, cinemati...",321,conv_out,Conv2d,"(4, 320, 3, 3)",11524,W4A16,4,,2858.75,2790.37,,0.0097660953,0.0815372169,0.3365635872,0.9915090433
"a futuristic cityscape at twilight, ultra-detailed, cinemati...",321,conv_out,Conv2d,"(4, 320, 3, 3)",11524,W4A8,4,8.0,2858.75,2801.27,,0.0108094998,0.0850007161,0.3891764879,0.9906028529
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,conv_in,Conv2d,"(320, 4, 3, 3)",11840,W8A16,8,,2832.49,2800.86,,9.6645e-06,0.0020613375,0.0391384996,0.9999950914
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,conv_in,Conv2d,"(320, 4, 3, 3)",11840,W8A8,8,8.0,2832.49,2809.7,,0.0001832773,0.0097502731,0.2062506676,0.9999067442
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,conv_in,Conv2d,"(320, 4, 3, 3)",11840,W4A16,4,,2832.49,2764.54,,0.0029183163,0.0385670699,0.5300335884,0.9985154429
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,conv_in,Conv2d,"(320, 4, 3, 3)",11840,W4A8,4,8.0,2832.49,2781.81,,0.0032574211,0.0407737866,0.5626881123,0.9983418205
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,time_embedding.linear_1,Linear,"(1280, 320)",410880,W8A16,8,,2832.49,2798.03,,1.14e-08,7.87026e-05,0.0010445453,0.9999999942
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,time_embedding.linear_1,Linear,"(1280, 320)",410880,W8A8,8,8.0,2832.49,2792.1,,1.9783e-06,0.0010395744,0.0145202875,0.9999990239
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,time_embedding.linear_1,Linear,"(1280, 320)",410880,W4A16,4,,2832.49,2803.81,,0.0069683734,0.0578161776,0.84231776,0.9965473353
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,time_embedding.linear_1,Linear,"(1280, 320)",410880,W4A8,4,8.0,2832.49,2800.32,,0.0065487572,0.0561101958,0.8193888664,0.9967541011
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,time_embedding.linear_2,Linear,"(1280, 1280)",1639680,W8A16,8,,2832.49,2821.81,,8.8555e-06,0.0021214965,0.0410556793,0.9999956462
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,time_embedding.linear_2,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,2832.49,2810.29,,3.12881e-05,0.0038356653,0.0631191209,0.9999841814
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,time_embedding.linear_2,Linear,"(1280, 1280)",1639680,W4A16,4,,2832.49,2788.0,,0.3154897988,0.4001811445,3.6657886505,0.8521422376
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,time_embedding.linear_2,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,2832.49,2798.73,,0.3157676458,0.4005980194,3.6676752567,0.8520721792
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A16,8,,2832.49,2829.29,,1.04781e-05,0.0021697399,0.0358585119,0.999994673
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,2832.49,2813.04,,1.27361e-05,0.0025434522,0.033136487,0.9999935222
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W4A16,4,,2832.49,2806.9,,0.0008641163,0.0206899606,0.3208242655,0.9995610177
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,2832.49,2817.83,,0.0008870111,0.0209016781,0.3398834467,0.9995496408
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A16,8,,2832.49,2793.09,,4.926e-07,0.0004777063,0.0080265403,0.9999997496
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A8,8,8.0,2832.49,2799.52,,1.1328e-06,0.0007447877,0.0106339455,0.9999994237
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W4A16,4,,2832.49,2801.45,,0.0001459507,0.0084383674,0.1828035116,0.9999259121
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W4A8,4,8.0,2832.49,2822.93,,0.0001422628,0.008342348,0.1774208546,0.9999277733
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A16,8,,2832.49,2779.79,,5.944e-07,0.0004986335,0.0080299377,0.9999997008
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A8,8,8.0,2832.49,2784.45,,8.186e-07,0.0005745845,0.0106960312,0.9999995879
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W4A16,4,,2832.49,2807.49,,0.0001500858,0.0082362639,0.1558535099,0.9999239376
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W4A8,4,8.0,2832.49,2772.3,,0.0001512835,0.0082751289,0.1569565535,0.9999233341
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A16,8,,2832.49,2800.19,,4.3813e-06,0.0014058241,0.0228292719,0.9999977875
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A8,8,8.0,2832.49,2771.51,,4.8461e-06,0.0014487384,0.0260823034,0.9999975413
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W4A16,4,,2832.49,2776.68,,0.0028924947,0.0370350815,0.567564249,0.9985352352
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W4A8,4,8.0,2832.49,2790.19,,0.0028707189,0.0369390175,0.5613242984,0.9985465068
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A16,8,,2832.49,2777.61,,4.4776e-06,0.0013545521,0.0284138918,0.9999977239
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8.0,2832.49,2789.24,,9.9022e-06,0.0019220763,0.0400597192,0.9999949726
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W4A16,4,,2832.49,2754.8,,0.0006051471,0.0167871248,0.3418188095,0.9996948074
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,2832.49,2810.02,,0.0005875705,0.0165632274,0.3432282209,0.9997038312
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A16,8,,2832.49,2756.98,,6.304e-07,0.000493393,0.0103290789,0.9999996793
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A8,8,8.0,2832.49,2753.75,,5.289e-07,0.0004810689,0.0098574162,0.9999997316
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W4A16,4,,2832.49,2790.26,,4.14502e-05,0.0046324804,0.0603006408,0.9999790029
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W4A8,4,8.0,2832.49,2766.75,,4.19636e-05,0.0046551889,0.0644076392,0.9999787293
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A16,8,,2832.49,2749.12,,3.7661e-06,0.0011766616,0.0233339369,0.999998096
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A8,8,8.0,2832.49,2747.2,,1.89285e-05,0.0029526777,0.0470378958,0.9999905673
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W4A16,4,,2832.49,2745.32,,0.0002114573,0.0101732714,0.1229353547,0.9998952487
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W4A8,4,8.0,2832.49,2801.43,,0.0002535088,0.0111468099,0.1569128782,0.999874773
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A16,8,,2832.49,2773.49,,3.86148e-05,0.0039919876,0.0788978785,0.9999803533
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A8,8,8.0,2832.49,2799.25,,4.8592e-05,0.0048716925,0.0842317343,0.9999752761
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W4A16,4,,2832.49,2754.84,,0.0026763596,0.0347990058,0.4911674857,0.9986382417
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W4A8,4,8.0,2832.49,2746.53,,0.0028314751,0.0359841213,0.5352401137,0.9985583074
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A16,8,,2832.49,2731.77,,1.63732e-05,0.002762659,0.0449572802,0.9999916763
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8.0,2832.49,2766.36,,1.18695e-05,0.002401513,0.0368355513,0.9999939614
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W4A16,4,,2832.49,2741.22,,0.0019205526,0.0327096134,0.4438990355,0.9990238942
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,2832.49,2752.76,,0.0019385054,0.0328401402,0.4481848478,0.9990145916
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A16,8,,2832.49,2748.78,,9.37768e-05,0.0066275033,0.1272183657,0.999952482
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A8,8,8.0,2832.49,2793.09,,8.0087e-05,0.0062474781,0.1035876274,0.9999594128
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W4A16,4,,2832.49,2761.98,,0.0126498472,0.082407102,1.218280673,0.993550175
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W4A8,4,8.0,2832.49,2763.4,,0.0126130832,0.0822426602,1.1986311674,0.9935681722
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A16,8,,2832.49,2799.11,,2.3322e-06,0.0011039075,0.0184406042,0.999998815
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A8,8,8.0,2832.49,2776.38,,4.24988e-05,0.0046405424,0.0693631172,0.9999783792
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W4A16,4,,2832.49,2798.37,,0.0003534688,0.013018663,0.2068653107,0.9998208413
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W4A8,4,8.0,2832.49,2750.96,,0.000347368,0.0130996145,0.1926111579,0.9998238616
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A16,8,,2832.49,2800.83,,2.7559e-06,0.0012356854,0.015486002,0.9999985978
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,2832.49,2743.85,,8.1805e-06,0.0021079842,0.0351327658,0.9999958402
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W4A16,4,,2832.49,2778.77,,0.0004568228,0.0151110059,0.1808027923,0.9997732245
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.0.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,2832.49,2750.49,,0.0004330864,0.0149301151,0.165895164,0.9997856006
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A16,8,,2832.49,2737.34,,1.1447e-06,0.0007709495,0.0099654645,0.9999994323
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,2832.49,2758.37,,1.05436e-05,0.0022627041,0.0385617316,0.99999465
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W4A16,4,,2832.49,2751.62,,0.0011829752,0.0230280142,0.3370960951,0.9994004626
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,2832.49,2779.48,,0.0013241989,0.0241543949,0.3577616811,0.9993284585
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A16,8,,2832.49,2785.97,,2.228e-07,0.0003059293,0.0048878789,0.999999887
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A8,8,8.0,2832.49,2754.85,,1.2531e-06,0.0007138133,0.0118738413,0.9999993635
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W4A16,4,,2832.49,2758.35,,0.0002254276,0.0091485232,0.1655201316,0.9998853207
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W4A8,4,8.0,2832.49,2748.6,,0.0002247086,0.0091009587,0.1665142775,0.9998856832
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A16,8,,2832.49,2760.54,,2.876e-07,0.0003898575,0.0054960251,0.9999998537
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A8,8,8.0,2832.49,2754.76,,4.129e-07,0.0004460112,0.0089399815,0.9999997901
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W4A16,4,,2832.49,2721.91,,0.0001885687,0.0090894047,0.1293860674,0.9999040515
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W4A8,4,8.0,2832.49,2720.71,,0.0001875015,0.009064503,0.1271736026,0.9999045946
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A16,8,,2832.49,2747.53,,2.7427e-06,0.0011936879,0.0186644793,0.9999986153
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A8,8,8.0,2832.49,2726.74,,3.1154e-06,0.0012661843,0.019775629,0.9999984267
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W4A16,4,,2832.49,2756.94,,0.0014889388,0.027524747,0.4736037254,0.9992424176
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W4A8,4,8.0,2832.49,2759.62,,0.0014761053,0.0274171829,0.4725151062,0.9992489551
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A16,8,,2832.49,2755.09,,2.7144e-06,0.0011483516,0.023342222,0.9999986246
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8.0,2832.49,2713.99,,6.4482e-06,0.0016960296,0.0339390039,0.9999967273
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W4A16,4,,2832.49,2761.74,,0.00084118,0.0211977158,0.3221074343,0.9995852491
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,2832.49,2734.52,,0.0008408163,0.0211927965,0.3194483519,0.999585517
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A16,8,,2832.49,2747.28,,1.627e-07,0.0002993154,0.0028655827,0.99999992
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A8,8,8.0,2832.49,2741.77,,1.7901e-06,0.0008468657,0.0132161379,0.9999990915
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W4A16,4,,2832.49,2741.96,,0.0001910924,0.0089307688,0.1643912792,0.9999028237
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W4A8,4,8.0,2832.49,2749.94,,0.0001964516,0.0091518965,0.1593453288,0.9999000696
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A16,8,,2832.49,2724.82,,2.204e-07,0.0003163483,0.0054795966,0.9999998881
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A8,8,8.0,2832.49,2742.65,,8.78e-07,0.0006755038,0.0074353218,0.9999995548
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W4A16,4,,2832.49,2735.07,,0.0002988388,0.0109374337,0.2467216402,0.9998502718
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W4A8,4,8.0,2832.49,2718.89,,0.0002916473,0.0109042125,0.2452403456,0.9998540587
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A16,8,,2832.49,2719.54,,8.7176e-06,0.0021174839,0.0361822844,0.9999955872
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A8,8,8.0,2832.49,2765.34,,7.19106e-05,0.0055493573,0.1018053293,0.9999634472
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W4A16,4,,2832.49,2737.1,,0.0014309117,0.0277494602,0.3884320259,0.9992832967
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W4A8,4,8.0,2832.49,2737.52,,0.0015028822,0.0287178922,0.3851600885,0.9992465363
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A16,8,,2832.49,2726.99,,3.2974e-06,0.0012563044,0.0219359845,0.999998335
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8.0,2832.49,2749.69,,3.7212e-06,0.0013776575,0.0196884573,0.999998117
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W4A16,4,,2832.49,2741.72,,0.0008505068,0.0212836191,0.3204119205,0.9995682484
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,2832.49,2784.49,,0.0008540299,0.0212854277,0.3225118518,0.9995664238
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A16,8,,2832.49,2774.4,,4.5931e-06,0.0014273612,0.0261178762,0.9999976632
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A8,8,8.0,2832.49,2759.68,,1.06998e-05,0.0021303091,0.0422572792,0.9999945563
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W4A16,4,,2832.49,2765.5,,0.0019129612,0.0307708252,0.463981688,0.9990408075
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W4A8,4,8.0,2832.49,2773.22,,0.0018547,0.0304210782,0.4665107131,0.999070812
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A16,8,,2832.49,2752.93,,1.3128e-06,0.000799369,0.0130772591,0.999999344
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A8,8,8.0,2832.49,2740.79,,6.10646e-05,0.0052223462,0.1101911068,0.9999690068
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W4A16,4,,2832.49,2765.16,,0.0003893385,0.0130415522,0.1783903241,0.9998051594
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W4A8,4,8.0,2832.49,2733.23,,0.0004191616,0.0134948269,0.1975030899,0.9997886253
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A16,8,,2832.49,2730.16,,4.4002e-06,0.0015578156,0.0193212032,0.9999978249
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,2832.49,2781.78,,1.63348e-05,0.0030347081,0.0321680307,0.999991701
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W4A16,4,,2832.49,2724.63,,0.0021328684,0.0339893885,0.4640944004,0.9989144049
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.attentions.1.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,2832.49,2723.47,,0.0020941284,0.0336930342,0.474624753,0.9989341453
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.resnets.0.conv1,Conv2d,"(320, 320, 3, 3)",921920,W8A16,8,,2832.49,2752.18,,3.5891e-06,0.0014680226,0.0208476782,0.9999981842
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.resnets.0.conv1,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8.0,2832.49,2733.05,,9.47749e-05,0.0066585508,0.1141182482,0.9999518785
"a bowl of fresh strawberries on a rustic wooden table, natur...",777,down_blocks.0.resnets.0.conv1,Conv2d,"(320, 320, 3, 3)",921920,W4A16,4,,2832.49,2715.65,,0.0006659203,0.0178756304,0.397157073,0.9996611705
